Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
11600,false,-476.535534,-171.523378,-163.208151,-141.804005,5.852215,11.457749,0.793717,0.000000
11700,false,-479.705498,-175.592764,-163.148189,-140.964545,5.735019,11.344291,0.400831,0.000000
11800,false,-472.321947,-167.637186,-164.213699,-140.471062,5.807466,12.014664,0.319235,0.000000
11900,true,-471.486665,-170.798963,-160.724563,-139.963139,5.835753,10.818410,0.947894,1.000000
12000,true,-478.387022,-174.846522,-161.915991,-141.624509,5.850637,11.083492,0.275129,0.407662
12100,true,-471.804812,-169.067929,-161.105973,-141.630910,5.884376,12.109758,0.818168,1.000000
12200,true,-470.340188,-169.319617,-159.617544,-141.403027,5.941773,10.871613,0.175042,0.531054
12300,false,-469.675378,-169.075506,-159.464233,-141.135639,5.834812,11.009196,0.138083,0.000428
12400,true,-471.363593,-171.518769,-159.560445,-140.284379,5.855261,10.404370,0.568211,1.210189
12500,true,-467.853540,-169.808464,-157.890348,-140.154728,5.932376,11.573841,0.479254,0.588968
12600,true,-463.046617,-163.417879,-160.012106,-139.616632,5.973832,11.301370,0.031500,0.244406
12700,false,-478.285435,-177.714752,-159.424872,-141.145811,5.837792,12.257716,0.383718,0.000001
12800,false,-474.618023,-174.907740,-159.180047,-140.530236,5.890171,12.136257,0.602846,0.000007
12900,false,-480.562798,-176.611228,-161.420443,-142.531128,5.798470,11.708284,0.080583,0.000000
13000,true,-479.081016,-176.096982,-160.278903,-142.705131,5.823497,11.401104,0.156098,1.000000
13100,false,-474.597240,-173.519479,-159.539300,-141.538460,5.840870,11.089764,0.894069,0.128511
13200,false,-471.540611,-169.354404,-160.835516,-141.350691,5.861251,11.195679,0.217278,0.000525
13300,false,-477.234809,-174.964762,-161.852681,-140.417367,5.867510,11.206049,0.842976,0.173967
13400,false,-478.800343,-176.995710,-161.349934,-140.454699,5.785081,10.769344,0.722239,0.000000
13500,false,-476.139538,-173.833517,-161.595845,-140.710176,5.890300,11.298766,0.931538,0.003733
13600,true,-472.754891,-170.998513,-161.336472,-140.419906,5.816895,11.727307,0.215729,0.437993
13700,true,-469.347098,-167.535884,-160.880081,-140.931133,5.828487,12.200168,0.631698,1.000000
13800,true,-472.752458,-171.413085,-160.162634,-141.176738,5.907304,12.430118,0.991866,1.000000
13900,true,-472.354197,-174.458790,-159.018711,-138.876696,5.874978,12.343407,0.056780,1.000000
14000,false,-469.249674,-171.113257,-157.307281,-140.829135,5.978622,13.083704,0.676013,0.000000
14100,false,-475.958894,-173.837435,-160.496181,-141.625278,5.890877,12.823685,0.326574,0.000000
14200,true,-470.653577,-166.804674,-160.185201,-143.663701,5.875463,10.986831,0.748069,1.000000
14300,false,-476.258042,-174.438062,-160.900249,-140.919732,5.870172,11.704709,0.623820,0.001594
14400,false,-472.737557,-170.375696,-160.505839,-141.856022,5.922525,12.277580,0.507156,0.000042
14500,false,-471.806691,-170.172619,-159.290843,-142.343229,5.812201,11.761805,0.442107,0.000000
14600,true,-474.033496,-171.816358,-160.566066,-141.651071,5.827113,11.249025,0.977714,1.000000
14700,false,-474.246201,-172.779258,-159.255256,-142.211687,5.844433,11.855460,0.525169,0.000000
14800,true,-471.751241,-171.403567,-158.891220,-141.456454,5.868615,11.575068,0.257011,1.000000
14900,false,-475.247681,-175.125173,-159.447238,-140.675270,5.856200,11.993669,0.997595,0.000000
