Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
18300,true,-602.166288,-295.878971,-165.228877,-141.058440,5.622830,8.435523,0.703373,6.328297
18400,false,-600.953952,-295.833347,-165.489304,-139.631300,5.704238,9.857662,0.201367,0.000000
18500,true,-597.106045,-292.753081,-165.198555,-139.154408,5.653277,9.714944,0.278023,1.000000
18600,true,-594.962352,-291.069595,-165.361906,-138.530851,5.670472,9.709075,0.236373,2.611807
18700,false,-610.282003,-307.397269,-165.925714,-136.959021,5.580378,8.567935,0.349245,0.000004
18800,false,-604.563319,-301.481869,-165.149419,-137.932031,5.660700,9.143284,0.216768,0.161864
18900,false,-610.905667,-306.685850,-165.608619,-138.611197,5.610888,9.279858,0.986249,0.000000
19000,false,-609.552233,-305.189058,-165.780226,-138.582948,5.643137,9.172177,0.383629,0.003413
19100,false,-608.774287,-304.855117,-165.243714,-138.675456,5.597221,9.103748,0.755750,0.000000
19200,false,-610.064987,-305.819072,-165.090518,-139.155397,5.648949,9.387298,0.572632,0.000008
19300,false,-607.816061,-302.194871,-165.708591,-139.912598,5.667855,9.524072,0.089006,0.000000
19400,false,-608.673992,-303.621900,-165.727520,-139.324572,5.629603,9.372015,0.114290,0.000000
19500,false,-604.034080,-298.817949,-165.079160,-140.136971,5.684348,9.989594,0.090259,0.002032
19600,false,-603.391025,-299.420043,-164.438560,-139.532422,5.689873,9.920913,0.925598,0.000000
19700,false,-602.966139,-300.242609,-164.321784,-138.401745,5.674041,9.789613,0.286581,0.000000
19800,false,-603.837941,-301.334287,-163.965340,-138.538314,5.578049,9.408134,0.293081,0.000000
19900,false,-603.395673,-301.121773,-163.769272,-138.504628,5.591710,9.739876,0.819129,0.000000
20000,false,-600.394196,-299.171328,-163.161857,-138.061010,5.658507,9.328393,0.847255,0.000000
20100,true,-603.007776,-301.441911,-163.062222,-138.503642,5.618821,9.206587,0.575805,1.177823
20200,true,-598.051522,-296.072186,-163.323223,-138.656114,5.666989,8.624686,0.228486,1.000000
20300,false,-601.380960,-297.906663,-164.680028,-138.794269,5.670096,9.697764,0.765320,0.000000
20400,false,-601.953457,-298.861438,-164.524158,-138.567862,5.667890,9.157425,0.944262,0.000000
20500,true,-610.631302,-307.226149,-164.862458,-138.542695,5.570193,9.239307,0.432669,0.983402
20600,true,-611.928017,-308.076252,-164.700710,-139.151054,5.622190,9.468216,0.917867,1.038306
20700,false,-610.405870,-306.921434,-164.700710,-138.783726,5.640192,10.055156,0.416008,0.000307
20800,true,-614.844838,-311.343486,-164.536808,-138.964543,5.618265,9.450749,0.228463,1.000000
20900,false,-610.636283,-306.107867,-165.219010,-139.309407,5.622852,9.481868,0.244941,0.000020
21000,true,-609.197262,-305.930358,-164.722785,-138.544119,5.655496,9.939155,0.542580,1.022896
21100,false,-611.614791,-307.168559,-165.205343,-139.240889,5.627950,9.374176,0.480207,0.000000
